XCoord,YCoord,FID
114.59369544,22.49591106,70
113.86606006,22.50421041,71
113.87504321,22.50421041,72
113.88402636,22.50421041,73
113.89300952,22.50421041,74
113.90199267,22.50421041,75
113.91097582,22.50421041,76
113.91995898,22.50421041,77
113.92894213,22.50421041,78
113.93792528,22.50421041,79
113.94690843,22.50421041,80
114.04572311,22.50421041,81
114.05470627,22.50421041,82
114.48589760,22.50421041,83
114.49488076,22.50421041,84
114.50386391,22.50421041,85
114.51284706,22.50421041,86
114.52183022,22.50421041,87
114.53081337,22.50421041,88
114.53979652,22.50421041,89
114.54877967,22.50421041,90
114.55776283,22.50421041,91
114.56674598,22.50421041,92
114.57572913,22.50421041,93
114.58471229,22.50421041,94
114.59369544,22.50421041,95
114.60267859,22.50421041,96
114.61166174,22.50421041,97
113.86606006,22.51250925,98
113.87504321,22.51250925,99
113.88402636,22.51250925,100
113.89300952,22.51250925,101
113.90199267,22.51250925,102
113.91097582,22.51250925,103
113.91995898,22.51250925,104
113.92894213,22.51250925,105
113.93792528,22.51250925,106
113.94690843,22.51250925,107
114.03673996,22.51250925,108
114.04572311,22.51250925,109
114.05470627,22.51250925,110
114.47691445,22.51250925,111
114.48589760,22.51250925,112
114.49488076,22.51250925,113
114.50386391,22.51250925,114
114.51284706,22.51250925,115
114.52183022,22.51250925,116
114.53081337,22.51250925,117
114.53979652,22.51250925,118
114.54877967,22.51250925,119
114.55776283,22.51250925,120
114.56674598,22.51250925,121
114.57572913,22.51250925,122
114.58471229,22.51250925,123
114.59369544,22.51250925,124
114.60267859,22.51250925,125
114.61166174,22.51250925,126
114.62064490,22.51250925,127
113.88402636,22.52080761,128
113.89300952,22.52080761,129
113.90199267,22.52080761,130
113.91097582,22.52080761,131
113.91995898,22.52080761,132
113.92894213,22.52080761,133
113.93792528,22.52080761,134
113.94690843,22.52080761,135
113.95589159,22.52080761,136
113.96487474,22.52080761,137
113.97385789,22.52080761,138
113.98284104,22.52080761,139
114.02775681,22.52080761,140
114.03673996,22.52080761,141
114.04572311,22.52080761,142
114.05470627,22.52080761,143
114.06368942,22.52080761,144
114.07267257,22.52080761,145
114.08165573,22.52080761,146
114.48589760,22.52080761,147
114.49488076,22.52080761,148
114.50386391,22.52080761,149
114.51284706,22.52080761,150
114.52183022,22.52080761,151
114.53081337,22.52080761,152
114.53979652,22.52080761,153
114.54877967,22.52080761,154
114.55776283,22.52080761,155
114.56674598,22.52080761,156
114.57572913,22.52080761,157
114.58471229,22.52080761,158
114.59369544,22.52080761,159
114.60267859,22.52080761,160
114.61166174,22.52080761,161
113.88402636,22.52910546,162
113.89300952,22.52910546,163
113.90199267,22.52910546,164
113.91097582,22.52910546,165
113.91995898,22.52910546,166
113.92894213,22.52910546,167
113.93792528,22.52910546,168
113.94690843,22.52910546,169
113.95589159,22.52910546,170
113.96487474,22.52910546,171
113.97385789,22.52910546,172
113.98284104,22.52910546,173
113.99182420,22.52910546,174
114.00080735,22.52910546,175
114.00979050,22.52910546,176
114.01877366,22.52910546,177
114.02775681,22.52910546,178
114.03673996,22.52910546,179
114.04572311,22.52910546,180
114.05470627,22.52910546,181
114.06368942,22.52910546,182
114.07267257,22.52910546,183
114.48589760,22.52910546,184
114.49488076,22.52910546,185
114.50386391,22.52910546,186
114.51284706,22.52910546,187
114.52183022,22.52910546,188
114.53081337,22.52910546,189
114.53979652,22.52910546,190
114.54877967,22.52910546,191
114.55776283,22.52910546,192
114.56674598,22.52910546,193
114.57572913,22.52910546,194
114.58471229,22.52910546,195
114.59369544,22.52910546,196
114.60267859,22.52910546,197
113.88402636,22.53740281,198
113.89300952,22.53740281,199
113.90199267,22.53740281,200
113.91097582,22.53740281,201
113.91995898,22.53740281,202
113.92894213,22.53740281,203
113.93792528,22.53740281,204
113.94690843,22.53740281,205
113.95589159,22.53740281,206
113.96487474,22.53740281,207
113.97385789,22.53740281,208
113.98284104,22.53740281,209
113.99182420,22.53740281,210
114.00080735,22.53740281,211
114.00979050,22.53740281,212
114.01877366,22.53740281,213
114.02775681,22.53740281,214
114.03673996,22.53740281,215
114.04572311,22.53740281,216
114.05470627,22.53740281,217
114.06368942,22.53740281,218
114.07267257,22.53740281,219
114.08165573,22.53740281,220
114.09063888,22.53740281,221
114.09962203,22.53740281,222
114.10860518,22.53740281,223
114.11758834,22.53740281,224
114.48589760,22.53740281,225
114.49488076,22.53740281,226
